date,stationId,code,value
2021-07-25 01:00:00.000000 UTC,s5,PM2.5,6.97
2020-09-23 11:00:00.000000 UTC,s7,PM2.5,7.2
2020-06-24 06:00:00.000000 UTC,s7,PM2.5,4.05
2021-06-17 08:00:00.000000 UTC,s7,PM2.5,2.24
2020-09-19 18:00:00.000000 UTC,k26,PM2.5,25.0
2021-11-28 19:00:00.000000 UTC,k26,PM2.5,52.1275
2022-08-27 17:00:00.000000 UTC,k27,PM2.5,3.245
2022-03-07 01:00:00.000000 UTC,k27,PM2.5,7.955
2022-04-28 15:00:00.000000 UTC,k28,PM2.5,6.6145000000000005
2020-09-08 05:00:00.000000 UTC,k28,PM2.5,21.0
2023-10-10 08:00:00.000000 UTC,k28,PM2.5,0.7667777777777777
2022-08-22 05:00:00.000000 UTC,k28,PM2.5,1.3305
2020-10-31 21:00:00.000000 UTC,k28,PM2.5,193.0
2022-04-25 01:00:00.000000 UTC,k57,PM2.5,1.1146666666666665
2020-08-10 07:00:00.000000 UTC,k59,PM2.5,6.0
2022-04-29 12:00:00.000000 UTC,k97,PM2.5,3.109
2020-10-01 02:00:00.000000 UTC,k97,PM2.5,15.0
2021-10-02 15:00:00.000000 UTC,k97,PM2.5,8.198500000000001
2023-03-25 15:00:00.000000 UTC,27423,PM2.5,118.0
2023-06-22 04:00:00.000000 UTC,27443,PM2.5,27.0
2023-03-17 00:00:00.000000 UTC,27443,PM2.5,150.66666666666666
2023-10-05 04:00:00.000000 UTC,30369354,PM2.5,52.333333333333336
2023-09-16 01:00:00.000000 UTC,30369354,PM2.5,111.33333333333331
2023-08-22 07:00:00.000000 UTC,34703847,PM2.5,26.666666666666668
2023-09-16 09:00:00.000000 UTC,39168240,PM2.5,95.0
2023-10-29 09:00:00.000000 UTC,39168240,PM2.5,78.66666666666667
2023-05-07 10:00:00.000000 UTC,609935dcc9348052e0c5d929,PM2.5,59.0
2023-04-04 06:00:00.000000 UTC,609935ddc9348052e0c5da5f,PM2.5,57.0
2023-02-06 09:00:00.000000 UTC,609935dec9348052e0c5db1d,PM2.5,167.0
2023-02-02 11:00:00.000000 UTC,60ec151f3fdcd35938ff8aae,PM2.5,165.0
2023-03-05 20:00:00.000000 UTC,60ec15203fdcd35938ff8bfa,PM2.5,160.0
2023-02-07 22:00:00.000000 UTC,60ec15213fdcd35938ff8c08,PM2.5,167.0
2022-12-17 12:00:00.000000 UTC,60ec15213fdcd35938ff8c66,PM2.5,81.0
2022-12-30 12:00:00.000000 UTC,60ec15223fdcd35938ff8d04,PM2.5,96.0
2023-03-13 18:00:00.000000 UTC,60ec15223fdcd35938ff8d7c,PM2.5,59.0
2023-07-12 11:00:00.000000 UTC,k25,PMtot,0.0010968888888888
2023-06-18 08:00:00.000000 UTC,k25,PMtot,0.000905
2023-02-24 21:00:00.000000 UTC,k57,PMtot,0.0020521666666666
2023-06-25 13:00:00.000000 UTC,k58,PMtot,13.47245555555556
2023-09-06 01:00:00.000000 UTC,k97,PM10,0.433
2021-06-10 09:00:00.000000 UTC,s8,PM2.5,6.07
2024-03-15 07:00:00.000000 UTC,k26,PM2.5,1.9133333333333329
2022-07-11 00:00:00.000000 UTC,k27,PM2.5,3.836500000000001
2023-05-01 13:00:00.000000 UTC,k27,PM2.5,5.896
2021-08-17 16:00:00.000000 UTC,k28,PM2.5,3.4870000000000005
2021-05-30 06:00:00.000000 UTC,k56,PM2.5,15.322870454545455
2023-08-24 09:00:00.000000 UTC,k59,PM2.5,1.683388888888889
2022-07-13 20:00:00.000000 UTC,k59,PM2.5,0.7155
2020-11-28 05:00:00.000000 UTC,k59,PM2.5,57.0
2021-09-12 05:00:00.000000 UTC,k59,PM2.5,10.729
2022-01-21 08:00:00.000000 UTC,k60,PM2.5,31.6025
2023-03-24 07:00:00.000000 UTC,k60,PM2.5,1.0447777777777778
2022-09-22 08:00:00.000000 UTC,k60,PM2.5,12.1455
2020-10-29 10:00:00.000000 UTC,k97,PM2.5,31.0
2024-03-19 14:00:00.000000 UTC,27173,PM2.5,79.66666666666667
2023-08-18 09:00:00.000000 UTC,27193,PM2.5,1.6666666666666663
2023-01-11 20:00:00.000000 UTC,27297,PM2.5,59.0
2023-03-12 12:00:00.000000 UTC,43241,PM2.5,111.75
2023-05-21 21:00:00.000000 UTC,43241,PM2.5,60.333333333333336
2022-12-30 21:00:00.000000 UTC,30369354,PM2.5,155.66666666666666
2023-12-21 22:00:00.000000 UTC,30369354,PM2.5,187.33333333333331
2023-06-25 16:00:00.000000 UTC,30960812,PM2.5,35.333333333333336
2023-04-16 18:00:00.000000 UTC,30960812,PM2.5,1.75
2024-01-12 22:00:00.000000 UTC,34703847,PM2.5,148.66666666666666
2024-01-07 14:00:00.000000 UTC,34703847,PM2.5,191.0
2023-03-27 03:00:00.000000 UTC,36200067,PM2.5,97.0
2024-03-06 10:00:00.000000 UTC,39168240,PM2.5,131.66666666666666
2022-12-25 11:00:00.000000 UTC,39168240,PM2.5,155.0
2024-04-14 16:00:00.000000 UTC,39168240,PM2.5,89.33333333333333
2023-12-28 09:00:00.000000 UTC,39379024,PM2.5,51.0
2023-01-08 10:00:00.000000 UTC,609935dec9348052e0c5db1d,PM2.5,159.0
2023-01-22 06:00:00.000000 UTC,60ec151f3fdcd35938ff8b18,PM2.5,167.0
2023-05-02 10:00:00.000000 UTC,60ec15223fdcd35938ff8d9e,PM2.5,63.0
2022-12-31 22:00:00.000000 UTC,60ec15223fdcd35938ff8da8,PM2.5,161.0
2022-07-29 12:00:00.000000 UTC,k25,PMtot,0.0012765
2022-04-10 22:00:00.000000 UTC,k56,PMtot,0.0
2024-01-09 05:00:00.000000 UTC,k56,PMtot,11.192353409090911
2024-01-24 11:00:00.000000 UTC,k57,PMtot,0.0006678888888888
2022-11-03 12:00:00.000000 UTC,k57,PMtot,0.0010904999999999
2022-08-30 04:00:00.000000 UTC,k25,CO,104.5815
2024-05-01 07:00:00.000000 UTC,k26,CO,19.30283333333333
2023-11-17 16:00:00.000000 UTC,k26,CO,1.8107777777777772
2023-11-24 07:00:00.000000 UTC,k26,CO,57.014277777777785
2023-08-28 04:00:00.000000 UTC,k28,CO,767.2
2023-08-21 00:00:00.000000 UTC,k28,CO,923.0811111111112
2024-03-26 01:00:00.000000 UTC,k55,CO,5173.698301894014
2022-05-30 22:00:00.000000 UTC,k56,CO,1431.7053160638743
2023-02-07 01:00:00.000000 UTC,k56,CO,3601.682063261597
2022-03-10 11:00:00.000000 UTC,k57,CO,41.202666666666666
2023-02-11 08:00:00.000000 UTC,k58,CO,213.7216989958431
2024-04-04 18:00:00.000000 UTC,k58,CO,0.0
2022-10-15 23:00:00.000000 UTC,k60,CO,1141.605
2024-03-29 15:00:00.000000 UTC,k60,CO,166.8358333333333
2024-04-09 00:00:00.000000 UTC,k97,CO,11.231666666666667
2023-10-22 07:00:00.000000 UTC,k27,NO,5.645777777777777
2024-04-18 11:00:00.000000 UTC,k27,NO,16.45055555555556
2023-12-24 09:00:00.000000 UTC,k27,NO,54.113277777777775
2022-01-24 00:00:00.000000 UTC,k27,NO,31.823
2022-07-14 08:00:00.000000 UTC,k28,NO,10.2805
2022-04-01 20:00:00.000000 UTC,k28,NO,10.3595
2022-09-01 02:00:00.000000 UTC,k56,NO,83.8407035772505
2023-05-08 23:00:00.000000 UTC,k57,NO,0.8285555555555556
2022-08-25 23:00:00.000000 UTC,k57,NO,46.11333333333333
2024-04-10 10:00:00.000000 UTC,k60,NO,14.812722222222224
2023-11-29 08:00:00.000000 UTC,k60,NO,548.9133333333333
2022-03-30 21:00:00.000000 UTC,k26,NO2,48.252666666666656
2022-07-05 14:00:00.000000 UTC,k27,NO2,23.881666666666664
2024-02-10 00:00:00.000000 UTC,k27,NO2,81.56133333333332
2022-06-27 00:00:00.000000 UTC,k27,NO2,27.470333333333333
2022-02-07 11:00:00.000000 UTC,k28,NO2,4.7945
2023-10-15 03:00:00.000000 UTC,k28,NO2,460.4773333333334
2022-10-06 10:00:00.000000 UTC,k56,NO2,0.89831182599521
2022-03-19 03:00:00.000000 UTC,k59,NO2,54.6305
2023-10-22 05:00:00.000000 UTC,k97,NO2,99.68472222222223
2024-02-07 00:00:00.000000 UTC,k26,SO2,0.1103333333333333
2024-01-04 00:00:00.000000 UTC,k26,SO2,0.1238333333333333
